"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" CPT1C ",5.78017,7.37028166666667,79.9700012821993,2.42943545520152e-15,5.66228521543818e-11,23.62253264559
" RNU6-940P ",-4.21268333333333,9.106625,-63.2057140733973,2.529813256745e-14,2.94811787874778e-10,22.2490245137759
" RNU6-229P ",5.63302666666667,8.76322,60.4488191186049,3.94350544314511e-14,3.06370937877944e-10,21.9553254798293
" RNU6-242P ",-3.80166333333333,9.72646833333333,-54.3077429201211,1.14503599505968e-13,6.67183848421402e-10,21.2084462143144
" CYP2D7P ",3.26306333333333,10.171635,47.4893084042538,4.34636164934254e-13,2.02601301922453e-09,20.1954762757561
" PLA2G16 ",-3.84324666666667,9.66707666666667,-46.5559955432053,5.29398463229469e-13,2.05644833041487e-09,20.0387604924245
" H3F3A ",-4.07852,8.86754,-44.2850658127225,8.70015659112421e-13,2.80511459134674e-09,19.6365704724336
" PGAP2 ",3.87512,9.47800666666667,43.3606919249768,1.07275760769667e-12,2.80511459134674e-09,19.4638617041381
" WDR16 ",-3.19328,10.5105933333333,-43.3184295947223,1.08319523414084e-12,2.80511459134674e-09,19.4558349211341
" RBM28 ",3.03099666666667,9.59686833333333,41.4571703334714,1.67513561994576e-12,3.90423858940759e-09,19.090510419446
" OR7A5 ",-3.05364333333333,10.650445,-40.2300450114228,2.25705437150707e-12,4.78228783970138e-09,18.8363795623975
" ERVH-6 ",-3.75289,8.564955,-36.9779769569706,5.20679396450886e-12,8.63293789102865e-09,18.1064291900813
" SORD ",-2.48815666666667,10.616455,-36.8880160145847,5.33402645404725e-12,8.63293789102865e-09,18.0849810280519
" ZFP36 ",2.94854333333333,11.3127616666667,36.7236951316309,5.57534486904103e-12,8.63293789102865e-09,18.0456192519698
" FLJ44313 ",-3.58683,10.0773183333333,-36.5096462995856,5.90787606822383e-12,8.63293789102865e-09,17.9939840834477
" ABCB8 ",-2.64061,10.8155283333333,-36.498103873854,5.92641722471611e-12,8.63293789102865e-09,17.9911879958782
